package,variety_a,variety_b,variety_c,district,village,planting_date,lon,lat,characteristic,best,worst,overall_vs_local,var_a,var_b,var_c,yield,best_yield,worst_yield,project,season,year,crop,country,variety_d,rank_variety_a,rank_variety_b,rank_variety_c,rank_variety_d,GDD,GDD_veg,GDD_flo,GDD_gra,maxDT_VEG,minDT_VEG,maxNT_VEG,minNT_VEG,SU_VEG,TR_VEG,DTR_VEG,maxDTR_VEG,sdDTR_VEG,MLDS_VEG,MLWS_VEG,R5mm_VEG,R10mm_VEG,R20mm_VEG,SDII_VEG,Rx1day_VEG,Rx5day_VEG,Rtotal_VEG,maxDT_FLO,minDT_FLO,maxNT_FLO,minNT_FLO,SU_FLO,TR_FLO,DTR_FLO,maxDTR_FLO,sdDTR_FLO,MLDS_FLO,MLWS_FLO,R5mm_FLO,R10mm_FLO,R20mm_FLO,SDII_FLO,Rx1day_FLO,Rx5day_FLO,Rtotal_FLO,maxDT_GRA,minDT_GRA,maxNT_GRA,minNT_GRA,SU_GRA,TR_GRA,DTR_GRA,maxDTR_GRA,sdDTR_GRA,MLDS_GRA,MLWS_GRA,R5mm_GRA,R10mm_GRA,R20mm_GRA,SDII_GRA,Rx1day_GRA,Rx5day_GRA,Rtotal_GRA,maxDT_FLO_acc,minDT_FLO_acc,maxNT_FLO_acc,minNT_FLO_acc,SU_FLO_acc,TR_FLO_acc,DTR_FLO_acc,maxDTR_FLO_acc,sdDTR_FLO_acc,MLDS_FLO_acc,MLWS_FLO_acc,R5mm_FLO_acc,R10mm_FLO_acc,R20mm_FLO_acc,SDII_FLO_acc,Rx1day_FLO_acc,Rx5day_FLO_acc,Rtotal_FLO_acc,maxDT_GRA_acc,minDT_GRA_acc,maxNT_GRA_acc,minNT_GRA_acc,SU_GRA_acc,TR_GRA_acc,DTR_GRA_acc,maxDTR_GRA_acc,sdDTR_GRA_acc,MLDS_GRA_acc,MLWS_GRA_acc,R5mm_GRA_acc,R10mm_GRA_acc,R20mm_GRA_acc,SDII_GRA_acc,Rx1day_GRA_acc,Rx5day_GRA_acc,Rtotal_GRA_acc,soil,xy,yx,planting_day
paquete 532,INTA Precoz,INTA Centro Sur,PM2 Don Rey,Waslala ,Ceiba Dudu,16785,-85.37303925,13.33500596,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,70,22,27,22,27.183942558746764,27.013066020141782,18.86394255874677,18.316449086161914,0,0,8.536235800752758,8.773812010443844,0.1495592370037507,22,1,0,0,0,0,0,0,0,27.65882506527417,27.12047370384186,18.30832152182022,18.232793733681486,0,0,9.195262685288771,9.426031331592682,0.18926874775543717,17,1,0,0,1,2.6874410695043105,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.676725102573677,18.531879895561353,18.234483401715796,0,0,9.645801939574765,9.970704960835494,0.20282024242512617,7,2,3,0,0,1.071208553314209,9.4842071533203125,12.544402122497559,26.780213832855225,27.65882506527417,27.013066020141782,18.86394255874677,18.232793733681486,0,0,8.897415740395356,9.426031331592682,0.3690993299346258,40,1,0,0,1,1.4432553891782407,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.013066020141782,18.86394255874677,18.230276016411807,0,0,9.11585134829865,9.970704960835494,0.4715310062520178,40,2,3,0,1,1.3778421690589504,77.935791015625,77.935791015625,104.71600484848022,Humic Nitisols,-72.03803329,-98.70804521000001,350
paquete 533,INTA Rojo,INTA Ferroso,SJC 730-79,Waslala ,Ceiba Dudu,16785,-85.36651611,13.33751144,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,70,22,27,22,27.183942558746764,27.013066020141782,18.86394255874677,18.316449086161914,0,0,8.536235800752758,8.773812010443844,0.1495592370037507,22,1,0,0,0,0,0,0,0,27.65882506527417,27.12047370384186,18.30832152182022,18.232793733681486,0,0,9.195262685288771,9.426031331592682,0.18926874775543717,17,1,0,0,1,2.6874410695043105,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.676725102573677,18.531879895561353,18.234483401715796,0,0,9.645801939574765,9.970704960835494,0.20282024242512617,7,2,3,0,0,1.071208553314209,9.4842071533203125,12.544402122497559,26.780213832855225,27.65882506527417,27.013066020141782,18.86394255874677,18.232793733681486,0,0,8.897415740395356,9.426031331592682,0.3690993299346258,40,1,0,0,1,1.4432553891782407,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.013066020141782,18.86394255874677,18.230276016411807,0,0,9.11585134829865,9.970704960835494,0.4715310062520178,40,2,3,0,1,1.3778421690589504,77.935791015625,77.935791015625,104.71600484848022,Humic Nitisols,-72.02900467,-98.70402755,350
paquete 534,ALS 0532-6,INTA Matagalpa,BRT 103-182,El Cua,Lana Central,16784,-85.59448242,13.39496338,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,81,27,31,24,25.1873591943305,24.922801193584508,15.906061171204799,15.690000000000055,0,0,9.244718388660925,9.487079447967112,0.1361078334402436,16,2,2,0,0,0.6407092094421387,8.234127044677734,16.017730236053467,16.017730236053467,26.36626258858637,25.257646400596798,16.45157403953753,15.690000000000055,0,0,9.762417146725236,9.91468854904884,0.10588268307374016,17,2,0,0,2,2.134083057272023,30.944204330444336,61.88840866088867,61.88840866088867,27.638273032450545,26.426687803058556,16.948287952256628,16.430537113017543,0,0,10.353371503170433,10.689985080193917,0.1998153936295368,14,2,2,0,0,0.7578706359863281,8.56558609008789,10.381179809570312,18.946765899658203,26.36626258858637,24.922801193584508,16.45157403953753,15.690000000000055,0,0,9.529928608728072,9.91468854904884,0.2831848915916065,34,2,2,0,2,1.4427062758692988,30.944204330444336,61.88840866088867,77.90613889694214,27.638273032450545,24.922801193584508,16.948287952256628,15.690000000000055,0,0,9.767338968537054,10.689985080193917,0.45351665404463976,34,2,4,0,2,1.2743803262710571,30.944204330444336,61.88840866088867,96.85290479660034,Haplic Nitisols,-72.19951904000001,-98.9894458,349
paquete 536,SJC 730-79,INTA Ferroso,INTA Precoz,El Cua,El Bote,16784,-85.67224503,13.36473601,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,77,26,30,22,25.958384930995933,25.675281611339095,16.32887355464385,15.64388287952263,0,0,9.91429130921295,10.314502051473303,0.3190797096790627,16,2,2,0,0,0.7273849487304688,9.4024658203125,18.18462371826172,18.18462371826172,28.187836628123847,25.968455800074626,15.99281984334207,15.477713539724016,0,0,11.22701507176699,12.195016784781776,0.6409130064181283,17,1,0,0,1,1.8843118075666756,54.645042419433594,54.645042419433594,54.645042419433594,30.460469973890337,28.303651622528886,16.50340917568075,15.97040283476318,4,0,13.074745244311782,13.957060798209586,0.5389707487757243,8,1,1,0,0,0.6421923828125,7.564485549926758,7.564485549926758,16.0548095703125,28.187836628123847,25.675281611339095,16.32887355464385,15.477713539724016,0,0,10.631820962327454,12.195016784781776,0.83042443900155,34,2,2,0,1,1.3486975210684318,54.645042419433594,54.645042419433594,72.82966613769531,30.460469973890337,25.675281611339095,16.50340917568075,15.477713539724016,4,0,11.342552862869084,13.957060798209586,1.3383023956507767,34,2,3,0,1,1.169532575105366,54.645042419433594,54.645042419433594,88.88447570800781,Haplic Nitisols,-72.30750902,-99.03698104,349
paquete 538,BRT 103-182,PM2 Don Rey,INTA Sequia Fuerte,Waslala,Ceiba Dudu,16779,-85.36651611,13.34018393,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,70,22,27,22,27.355072734054488,27.013066020141782,19.037609101081728,18.39198060425218,0,0,8.42940337730154,8.641227154046987,0.12090560652551988,18,1,1,0,0,0.21172788619995117,5.293197154998779,5.293197154998779,5.293197154998779,27.598399850801965,27.04327862737786,18.366803431555425,18.24790003729957,0,0,9.048709851216355,9.350499813502395,0.2314236041143252,23,1,0,0,1,2.6874410695043105,77.935791015625,77.935791015625,77.935791015625,28.059384558000758,27.618541588959367,18.284972025363697,18.230276016411807,0,0,9.495235732935452,9.774412532637061,0.11327206798645723,7,1,1,0,0,0.5694324684143066,9.4842071533203125,9.4842071533203125,14.235811710357666,27.598399850801965,27.013066020141782,19.037609101081728,18.24790003729957,0,0,8.768417829168202,9.350499813502395,0.36030487582867354,42,1,1,0,1,1.5412775587152552,77.935791015625,77.935791015625,83.22898817062378,28.059384558000758,27.013066020141782,19.037609101081728,18.230276016411807,0,0,8.981530908689718,9.774412532637061,0.45196775361219294,42,1,2,0,1,1.2824315773813348,77.935791015625,77.935791015625,97.46479988098145,Humic Nitisols,-72.02633218000001,-98.70670004,344
paquete 539,INTA Precoz,INTA Centro Sur,SJC 730-79,Waslala ,Ceiba Dudu_x000D_,16785,-85.3692627,13.33884769,Overall_performance-(A/B/C),A,C,Overall_performance_VS_Local-(Best/Worse),Better,Better,Worse,Yield-(A/B/C),A,C,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,70,22,27,22,27.183942558746764,27.013066020141782,18.86394255874677,18.316449086161914,0,0,8.536235800752758,8.773812010443844,0.1495592370037507,22,1,0,0,0,0,0,0,0,27.65882506527417,27.12047370384186,18.30832152182022,18.232793733681486,0,0,9.195262685288771,9.426031331592682,0.18926874775543717,17,1,0,0,1,2.6874410695043105,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.676725102573677,18.531879895561353,18.234483401715796,0,0,9.645801939574765,9.970704960835494,0.20282024242512617,7,2,3,0,0,1.071208553314209,9.4842071533203125,12.544402122497559,26.780213832855225,27.65882506527417,27.013066020141782,18.86394255874677,18.232793733681486,0,0,8.897415740395356,9.426031331592682,0.3690993299346258,40,1,0,0,1,1.4432553891782407,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.013066020141782,18.86394255874677,18.230276016411807,0,0,9.11585134829865,9.970704960835494,0.4715310062520178,40,2,3,0,1,1.3778421690589504,77.935791015625,77.935791015625,104.71600484848022,Humic Nitisols,-72.03041501,-98.70811038999999,350
paquete 54,INTA Matagalpa,SJC 730-79,ALS 0532-6,El Cua,La Chata,16790,-85.6439209,13.36824325,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,73,24,28,22,27.443688922044053,26.773547183886638,16.41287952256625,15.854207385304017,0,0,11.038607541283769,11.589481536740037,0.40259312950001636,22,1,0,0,0,0,0,0,0,28.82425587467361,27.51934725848566,16.52641178664679,15.902010443864235,0,0,11.876059513448542,12.333435285341231,0.19730278270127677,11,2,1,0,1,2.253649481411638,38.40510559082031,57.60765838623047,65.3558349609375,30.944681089145874,28.96524804177547,17.062002983961243,16.45053711301758,10,0,13.148576277508347,13.882678105184631,0.41534150951414084,10,2,0,0,0,0.3619412994384766,4.918574333190918,9.048532485961914,9.048532485961914,28.82425587467361,26.773547183886638,16.52641178664679,15.854207385304017,0,0,11.502204774337926,12.333435285341231,0.5136681467705755,34,2,1,0,1,1.2102932400173612,38.40510559082031,57.60765838623047,65.3558349609375,30.944681089145874,26.773547183886638,17.062002983961243,15.854207385304017,10,0,11.978813612746958,13.882678105184631,0.8873768592696702,34,2,1,0,1,0.9790048348276239,38.40510559082031,57.60765838623047,74.40436744689941,Haplic Nitisols,-72.27567764999999,-99.01216415,355
paquete 540,ALS 0532-6,INTA Rojo,INTA Ferroso,Waslala ,Ceiba Dudu_x000D_,16785,-85.3678894,13.33483892,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,A,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,70,22,27,22,27.183942558746764,27.013066020141782,18.86394255874677,18.316449086161914,0,0,8.536235800752758,8.773812010443844,0.1495592370037507,22,1,0,0,0,0,0,0,0,27.65882506527417,27.12047370384186,18.30832152182022,18.232793733681486,0,0,9.195262685288771,9.426031331592682,0.18926874775543717,17,1,0,0,1,2.6874410695043105,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.676725102573677,18.531879895561353,18.234483401715796,0,0,9.645801939574765,9.970704960835494,0.20282024242512617,7,2,3,0,0,1.071208553314209,9.4842071533203125,12.544402122497559,26.780213832855225,27.65882506527417,27.013066020141782,18.86394255874677,18.232793733681486,0,0,8.897415740395356,9.426031331592682,0.3690993299346258,40,1,0,0,1,1.4432553891782407,77.935791015625,77.935791015625,77.935791015625,28.502584856396847,27.013066020141782,18.86394255874677,18.230276016411807,0,0,9.11585134829865,9.970704960835494,0.4715310062520178,40,2,3,0,1,1.3778421690589504,77.935791015625,77.935791015625,104.71600484848022,Humic Nitisols,-72.03305048,-98.70272831999999,350
paquete 541,PM2 Don Rey,INTA Matagalpa,BRT 103-182,Waslala ,Ceiba Dudu_x000D_,16778,-85.3678894,13.33884769,Overall_performance-(A/B/C),A,C,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Worse,Yield-(A/B/C),A,C,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,70,22,27,22,27.365143603133184,27.013066020141782,19.05271540469978,18.404569190600558,0,0,8.414457970228195,8.623603133159264,0.11357425205249802,17,1,1,0,0,0.21172788619995117,5.293197154998779,5.293197154998779,5.293197154998779,27.58916449086165,27.03824319283851,18.379392017903804,18.25125326370763,0,0,9.023093234973107,9.33791122715402,0.23498558928474547,24,1,0,0,1,2.6874410695043105,77.935791015625,77.935791015625,77.935791015625,28.003994778067863,27.60847071988066,18.28245430809402,18.230276016411807,0,0,9.474669526296138,9.721540469973842,0.0959288446198219,7,1,1,0,0,0.5694324684143066,9.4842071533203125,9.4842071533203125,14.235811710357666,27.58916449086165,27.013066020141782,19.05271540469978,18.25125326370763,0,0,8.747656396866823,9.33791122715402,0.3559613550178447,42,1,1,0,1,1.5412775587152552,77.935791015625,77.935791015625,83.22898817062378,28.003994778067863,27.013066020141782,19.05271540469978,18.230276016411807,0,0,8.960939580038962,9.721540469973842,0.44861966851887164,42,1,2,0,1,1.2824315773813348,77.935791015625,77.935791015625,97.46479988098145,Humic Nitisols,-72.02904171,-98.70673708999999,343
paquete 543,INTA Rojo,INTA Ferroso,INTA Centro Sur,El Cua,Lana Central,16784,-85.61782837,13.41900896,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,B,nic_apante_2015,Ap15,2015,commonbean,NIC,NA,NA,NA,NA,NA,76,25,30,23,27.446769861991804,27.076758672137313,15.811514360313364,15.399690414024679,0,0,11.61674748228272,12.047079447967125,0.23441016709438695,16,2,2,0,0,0.6453474235534667,8.323845863342285,16.13368558883667,16.13368558883667,28.620951137635256,27.46691160014922,15.446262588586396,15.21363297277139,0,0,12.683806899028799,13.17468854904886,0.37543872664453865,17,2,0,0,2,1.9288537913355335,27.968379974365234,55.93675994873047,55.93675994873047,30.33681835136143,28.686411786646815,15.743894069377122,15.311342782543841,4,0,13.95591607609099,14.592924281984308,0.4774501611853678,14,2,2,0,0,0.6775832748413086,7.75656270980835,9.183019161224365,16.939581871032715,28.620951137635256,27.076758672137313,15.811514360313364,15.21363297277139,0,0,12.202371876165587,13.17468854904886,0.6166901407856199,34,2,2,0,2,1.3346378803253174,27.968379974365234,55.93675994873047,72.07044553756714,30.33681835136143,27.076758672137313,15.811514360313364,15.21363297277139,4,0,12.710058050653771,14.592924281984308,0.9791758828139795,34,2,4,0,2,1.1711845711657876,27.968379974365234,55.93675994873047,89.01002740859985,Haplic Nitisols,-72.19881941,-99.03683733,349
